1,9692941963847954407,2.3525352478027344
1,4095631611916496192,7.675649166107178
1,7910296914369116281,7.300965785980225
1,5373258500858459738,7.537891626358032
1,10337226833006178494,7.492763519287109
2,7266594168965376559,1.7416064739227295
2,5373258500858459738,2.98974871635437
2,4095631611916496192,2.968339681625366
2,7910296914369116281,3.0515027046203613
2,11230271265298087967,3.386594533920288
3,18195643829122392217,3.003945827484131,1
3,2301333233439286519,3.1412534713745117,1
3,7266594168965376559,1.6605372428894043,1
3,5373258500858459738,3.044041633605957,1
3,10337226833006178494,3.065861225128174,1
1,8232596733609428031,2.818563461303711
1,1705588679076122075,8.173617124557495
1,13508147260324142013,8.415414333343506
1,3450017319062683886,8.433618307113647
1,4954203998697039885,8.393659353256226
2,5329989859542508609,5.182992935180664
2,4954203998697039885,5.104838848114014
2,1705588679076122075,5.16020393371582
2,8232596733609428031,1.8774077892303467
2,13508147260324142013,5.056743621826172
3,4954203998697039885,3.372150421142578,1
3,1717213806350432348,3.8572440147399902,1
3,18351389229732204356,3.3245413303375244,1
3,7405245869072796706,3.792313575744629,1
3,3450017319062683886,1.9472930431365967,1
1,16859050992612414989,7.198524713516235
1,14151840939118036593,6.245439529418945
1,2050518542914479398,6.078590154647827
1,3828521765697622612,6.331705570220947
1,8301979418879367871,5.964035749435425
2,3828521765697622612,5.483517646789551
2,14151840939118036593,5.549603462219238
2,2050518542914479398,5.302151441574097
2,86849748182448201,6.072659015655518
2,2347046355517368043,3.2168338298797607
3,16859050992612414989,2.5663387775421143,1
3,14151840939118036593,4.934591770172119,1
3,18219952931571378228,5.327752351760864,1
3,8301979418879367871,4.734863519668579,1
3,86849748182448201,4.84061598777771,1
4,2347046355517368043,1.8046586513519287,1
4,86849748182448201,4.388477802276611,1
4,3828521765697622612,4.363318920135498,1
4,5418292377603068092,4.267314434051514,1
4,18219952931571378228,4.360862731933594,1
5,14151840939118036593,4.13329553604126,1
5,16859050992612414989,2.3276684284210205,1
5,8301979418879367871,4.608892440795898,0
5,4405932392057249828,4.578901767730713,1
5,2347046355517368043,4.013763189315796,1
6,4405932392057249828,3.8057374954223633,1
6,86849748182448201,3.9948465824127197,1
6,5418292377603068092,2.8092119693756104,1
6,3828521765697622612,3.9827721118927,1
6,14151840939118036593,4.200419187545776,1
7,2050518542914479398,4.160206079483032,1
7,8301979418879367871,4.244424343109131,1
7,86849748182448201,4.181931734085083,1
7,14151840939118036593,4.358388185501099,1
7,4405932392057249828,1.900632381439209,1
8,14151840939118036593,3.3044705390930176,1
8,18219952931571378228,3.5345723628997803,1
8,8301979418879367871,3.2761125564575195,1
8,2050518542914479398,3.546415090560913,1
8,5418292377603068092,2.3928024768829346,1
9,2347046355517368043,2.7051970958709717,1
9,5418292377603068092,4.372848033905029,0
9,4405932392057249828,4.569271802902222,0
9,2050518542914479398,4.449641704559326,0
9,18219952931571378228,4.679942846298218,0
10,16859050992612414989,3.31797456741333,1
10,8301979418879367871,6.005882740020752,0
10,86849748182448201,6.78044867515564,0
10,5418292377603068092,6.792291879653931,0
10,2050518542914479398,7.198056697845459,0
1,9330688077518442124,5.927978515625
1,17080700628331540340,5.932968616485596
1,8647748943690987273,6.047179698944092
1,15258806336124042038,5.484259843826294
1,8513038575857191057,5.741745471954346
2,9861074026992781022,8.032004117965698
2,8647748943690987273,7.1368396282196045
2,17718982359295589368,8.599968671798706
2,541046604674358980,5.200723171234131
2,17080700628331540340,6.695883512496948
3,17718982359295589368,6.876772403717041,1
3,541046604674358980,7.0724945068359375,1
3,8513038575857191057,7.130110502243042,1
3,8647748943690987273,7.144609689712524,1
3,1087156385414146053,2.2278432846069336,1
4,15258806336124042038,1.9474599361419678,1
4,1087156385414146053,3.642698287963867,1
4,9861074026992781022,3.2681100368499756,1
4,17718982359295589368,3.7495648860931396,1
4,17080700628331540340,3.313018798828125,1
5,18077863979234406451,3.6481380462646484,1
5,9861074026992781022,3.615806818008423,1
5,8647748943690987273,3.9484949111938477,1
5,17718982359295589368,1.94380784034729,1
5,8513038575857191057,3.736920118331909,1
6,18077863979234406451,3.8344712257385254,1
6,8647748943690987273,3.890075922012329,1
6,15258806336124042038,1.9526302814483643,1
6,1087156385414146053,3.9538164138793945,1
6,9330688077518442124,3.6198880672454834,1
7,8647748943690987273,3.7505199909210205,1
7,8513038575857191057,3.135719060897827,1
7,9861074026992781022,3.6851305961608887,1
7,15258806336124042038,1.9143409729003906,1
7,541046604674358980,3.471945285797119,1
8,9330688077518442124,3.5348668098449707,1
8,17080700628331540340,3.3790407180786133,1
8,17718982359295589368,3.360518217086792,1
8,1087156385414146053,1.9276564121246338,1
8,9861074026992781022,2.7863516807556152,1
9,9330688077518442124,3.0755786895751953,1
9,17718982359295589368,1.6890857219696045,1
9,18077863979234406451,3.159691095352173,1
9,8513038575857191057,3.2411129474639893,1
9,541046604674358980,3.3965373039245605,1
10,8647748943690987273,2.8052847385406494,1
10,1087156385414146053,1.9923443794250488,1
10,8513038575857191057,3.221003532409668,1
10,9861074026992781022,3.1937317848205566,1
10,17080700628331540340,3.2675211429595947,1
1,11094515622961884045,4.3127076625823975
1,15838199085836700902,2.788480043411255
1,8186679188243579510,2.8425440788269043
1,4186501648911759821,4.609708309173584
1,7808624798221729296,4.596493482589722
1,9700961354524804756,4.1122143268585205
1,9236486355041452416,5.046416282653809
1,3211703850648650958,5.032788038253784
1,4855785787131837982,4.313291788101196
1,244786135493900761,4.4036033153533936
2,9236486355041452416,3.670173406600952
2,4855785787131837982,3.617163896560669
2,8186679188243579510,2.440640449523926
2,11094515622961884045,3.902029514312744
2,9700961354524804756,3.6744513511657715
2,15838199085836700902,2.3978190422058105
2,4186501648911759821,3.455394744873047
2,244786135493900761,3.482743263244629
2,3211703850648650958,3.6196341514587402
2,7808624798221729296,3.4561374187469482
3,4186501648911759821,3.4500718116760254,1
3,9700961354524804756,2.499131441116333,1
3,9236486355041452416,3.8086934089660645,1
3,8186679188243579510,3.5630695819854736,1
3,15838199085836700902,2.4351415634155273,1
3,7808624798221729296,3.2135846614837646,1
3,11094515622961884045,3.613687038421631,1
3,3211703850648650958,3.8802332878112793,1
3,4855785787131837982,3.276716947555542,1
3,244786135493900761,3.7637100219726562,1
4,9700961354524804756,3.0698108673095703,1
4,4855785787131837982,3.0665438175201416,1
4,8186679188243579510,2.438838243484497,1
4,11094515622961884045,3.2667548656463623,1
4,9236486355041452416,3.3526511192321777,1
4,15838199085836700902,2.3647849559783936,1
4,7808624798221729296,3.1209774017333984,1
4,3211703850648650958,3.5303618907928467,1
4,244786135493900761,3.0008959770202637,1
4,4186501648911759821,3.2146146297454834,1
5,11094515622961884045,3.6809520721435547,1
5,9236486355041452416,3.582638740539551,1
5,9700961354524804756,3.5534095764160156,1
5,4855785787131837982,3.2926595211029053,1
5,3211703850648650958,3.3589589595794678,1
5,7808624798221729296,3.276808500289917,1
5,244786135493900761,3.5062296390533447,1
5,8186679188243579510,2.5516374111175537,1
5,15838199085836700902,2.5211942195892334,1
5,4186501648911759821,3.298799991607666,1
6,11094515622961884045,5.109868764877319,0
6,9700961354524804756,5.190621852874756,0
6,244786135493900761,4.963329792022705,1
6,4855785787131837982,5.53706169128418,0
6,15838199085836700902,2.5312352180480957,1
6,7808624798221729296,5.472095489501953,0
6,3211703850648650958,5.112384557723999,0
6,8186679188243579510,2.7307376861572266,1
6,9236486355041452416,4.942797660827637,1
6,4186501648911759821,4.840178728103638,1
7,4186501648911759821,3.182814598083496,1
7,244786135493900761,3.586498260498047,1
7,11094515622961884045,3.2332446575164795,1
7,8186679188243579510,2.2542972564697266,1
7,3211703850648650958,3.198216199874878,1
7,4855785787131837982,3.2385568618774414,1
7,9236486355041452416,3.0879065990448,1
7,9700961354524804756,3.313915491104126,1
7,7808624798221729296,3.399343967437744,1
7,15838199085836700902,2.148393154144287,1
8,4186501648911759821,3.211379289627075,1
8,4855785787131837982,3.1156158447265625,1
8,7808624798221729296,2.7690236568450928,1
8,3211703850648650958,3.187595844268799,1
8,244786135493900761,3.3044238090515137,1
8,9236486355041452416,2.840590476989746,1
8,9700961354524804756,3.1397159099578857,1
8,11094515622961884045,3.456458806991577,1
8,8186679188243579510,2.36421275138855,1
8,15838199085836700902,2.2715184688568115,1
9,8186679188243579510,2.2243921756744385,1
9,4855785787131837982,2.9874212741851807,1
9,15838199085836700902,2.1456031799316406,1
9,4186501648911759821,3.3914458751678467,1
9,11094515622961884045,3.0154969692230225,1
9,9236486355041452416,3.4255106449127197,1
9,9700961354524804756,3.357146739959717,1
9,244786135493900761,3.3305611610412598,1
9,7808624798221729296,3.4214279651641846,1
9,3211703850648650958,3.2538795471191406,1
10,3211703850648650958,3.461977005004883,1
10,244786135493900761,3.1928114891052246,1
10,4855785787131837982,3.154914379119873,1
10,9236486355041452416,3.846024751663208,1
10,7808624798221729296,3.376056432723999,1
10,15838199085836700902,2.438492774963379,1
10,4186501648911759821,3.821849822998047,1
10,8186679188243579510,2.5894625186920166,1
10,11094515622961884045,3.588468313217163,1
10,9700961354524804756,3.8646297454833984,1
1,4480187928797445268,3.4214704036712646
1,3680684145324992566,3.636910915374756
1,6336499984767370956,3.103358507156372
1,8231406056729738192,2.247096061706543
1,4017612882003177843,3.5574941635131836
1,12952313754677867683,3.8631701469421387
1,10222582482735931158,3.790304660797119
1,12712669182135860735,3.464904546737671
1,16478245514280079233,2.282575845718384
1,4862378093405730888,3.35977840423584
2,4480187928797445268,3.2069897651672363
