1,5.746850967407227,8,1 
1,6.126938104629517,8,1 
1,5.930855592091878,8,1 
1,6.2510570883750916,8,1 
1,5.3247767925262455,8,1 
1,5.784473180770874,8,1 
1,7.12002614566258,8,1 
1,7.398420095443726,8,1 
2,6.223545074462891,8,1 
2,7.366228699684143,8,1 
2,8.45995314915975,8,1 
2,8.128448128700256,8,1 
2,7.923403072357178,8,1 
2,8.175750176111857,8,1 
2,7.249743155070713,8,1 
2,8.566277652978897,8,1 
3,11.236528396606445,1,0.125
3,9.237355788548788,2,0.25
3,8.646928191184998,3,0.375
3,8.6317533493042,4,0.5
3,8.894920905431112,5,0.625
3,8.805595704487391,6,0.75
4,7.206016302108765,1,0.125
4,4.314950466156006,2,0.25
4,5.127774318059285,3,0.375
4,7.62914457321167,4,0.5
4,7.6714967886606855,5,0.625
4,8.075634479522705,6,0.75
4,7.699373781681061,7,0.875
5,9.23369550704956,1,0.125
5,9.796383937199911,2,0.25
5,9.19558835029602,3,0.375
5,7.570431423187256,4,0.5
5,7.23534878094991,5,0.625
5,8.0147844851017,6,0.75
6,10.597224116325378,1,0.125
6,8.670763889948526,2,0.25
6,8.224955260753632,3,0.375
6,8.715739130973816,4,0.5
6,8.404321704592023,5,0.625
6,7.5091394782066345,6,0.75
7,6.386958599090576,1,0.125
7,6.555081248283386,2,0.25
7,5.97425643603007,3,0.375
7,4.758550643920898,4,0.5
7,5.304314088821411,5,0.625
7,5.96617857615153,6,0.75
7,6.045202357428415,7,0.875
7,6.021560490131378,8,1.0
8,5.796080112457275,1,0.125
8,6.176964044570923,2,0.25
8,4.513627529144287,3,0.375
8,6.954246234893799,4,0.5
8,7.6176027570452005,5,0.625
8,7.577452659606934,6,0.75
9,6.853235960006714,1,0.125
9,7.3424519300460815,2,0.25
9,5.270066579182942,3,0.375
9,7.083283996582031,4,0.5
9,7.693791786829631,5,0.625
9,8.37242442369461,6,0.75
10,6.953789710998535,1,0.125
10,4.069063782691956,2,0.25
10,4.685048580169678,3,0.375
10,7.181197738647461,4,0.5
10,7.576092878977458,5,0.625
10,7.440798895699637,6,0.75
10,7.118659406900406,7,0.875
1,5.322957277297974,16,1
1,7.8501375913619995,16,1
1,7.74687663714091,16,1
1,6.045132398605347,16,1
1,6.476056861877441,16,1
1,6.54590900739034,16,1
1,6.501947471073696,16,1
1,6.0740364491939545,16,1
1,6.184833923975627,16,1
1,6.205813407897949,16,1
1,5.786294460296631,16,1
1,5.715566674868266,16,1
1,5.509929326864389,16,1
1,5.550688351903643,16,1
1,5.53328979810079,16,1
1,5.367750719189644,16,1
2,1.0666766166687012,16,1
